	T	p	density
0	0.95	0.9444444444444444	0.9076891791290311
1	0.95	0.6111111111111112	0.6005636109791945
2	0.95	0.2777777777777778	0.29343804282935787
3	0.95	0.05555555555555555	0.0886876640628036
4	0.75	0.9444444444444444	0.9267062421723646
5	0.75	0.6111111111111112	0.6576148001091948
6	0.75	0.2777777777777778	0.3885233580460259
7	0.75	0.05555555555555555	0.20912906333724623
8	0.55	0.9444444444444444	0.9415322169416849
9	0.55	0.6111111111111112	0.7020927244171566
10	0.55	0.2777777777777778	0.46265323189262914
11	0.55	0.05555555555555555	0.3030269035429437
12	0.35	0.9444444444444444	0.9534150701687084
13	0.35	0.6111111111111112	0.7377412840982278
14	0.35	0.2777777777777778	0.5220674980277472
15	0.35	0.05555555555555555	0.37828497398076016
16	0.15	0.9444444444444444	0.9631520356797915
17	0.15	0.6111111111111112	0.7669521806314764
18	0.15	0.2777777777777778	0.5707523255831604
19	0.15	0.05555555555555555	0.4399524222176173
20	0.05	0.9444444444444444	0.9673896135426062
21	0.05	0.6111111111111112	0.7796649142199199
22	0.05	0.2777777777777778	0.5919402148972334
23	0.05	0.05555555555555555	0.46679041534877663
