	T	p	density
78	0.3	0.1111111111111111	0.4298969817046484
10	0.9	0.9985277777777779	0.9610606322761062
4	1.0	0.5555555555555556	0.5306259816019728
84	0.2	0.5555555555555556	0.7267002473209477
64	0.4	0.5555555555555556	0.6926491820911256
68	0.4	0.1111111111111111	0.39776695720086735
30	0.7	1.0	0.97424842387822
45	0.6	0.4444444444444444	0.5688070012413222
96	0.1	0.3333333333333333	0.613558254223209
11	0.9	0.8888888888888888	0.863489651972086
79	0.3	0.0	0.35974642820472597
80	0.2	1.0	0.9943416200273488
0	1.0	0.9985277777777779	0.953720608032309
81	0.2	0.8888888888888888	0.9274312768507489
18	0.9	0.1111111111111111	0.17132156266056375
70	0.3	1.0	0.9911014097040268
56	0.5	0.3333333333333333	0.5175381557822993
72	0.3	0.7777777777777778	0.8508003027041824
108	0.0	0.1111111111111111	0.5099842943684073
42	0.6	0.7777777777777778	0.8150294822226353
12	0.9	0.7777777777777778	0.7646084963561552
36	0.7	0.3333333333333333	0.452227187923843
65	0.4	0.4444444444444444	0.6189286258685613
26	0.8	0.3333333333333333	0.4133118668196833
22	0.8	0.7777777777777778	0.7835633504678352
31	0.7	0.8888888888888888	0.8872448845524901
47	0.6	0.2222222222222222	0.4046586805871127
76	0.3	0.3333333333333333	0.5701980887044934
15	0.9	0.4444444444444444	0.46796502950836033
44	0.6	0.5555555555555556	0.6508811615684266
89	0.2	0.0	0.39214853143794653
90	0.1	1.0	0.9972957190638433
9	1.0	0.0	0.0
33	0.7	0.6666666666666666	0.713237805901031
55	0.5	0.4444444444444444	0.5952115568425351
69	0.4	0.0	0.324046400978303
28	0.8	0.1111111111111111	0.22818612499560653
40	0.6	1.0	0.9791778028768445
5	1.0	0.4444444444444444	0.4245007852815779
53	0.5	0.6666666666666666	0.7505583589630067
62	0.4	0.7777777777777778	0.8400902945362552
39	0.7	0.0	0.19121656994665834
35	0.7	0.4444444444444444	0.5392307272495721
16	0.9	0.3333333333333333	0.36908387389242936
104	0.0	0.5555555555555556	0.7549921471842036
34	0.7	0.5555555555555556	0.626234266575302
67	0.4	0.2222222222222222	0.4714875134234317
7	1.0	0.2222222222222222	0.21225039264078727
43	0.6	0.6666666666666666	0.7329553218955308
66	0.4	0.3333333333333333	0.545208069645997
73	0.3	0.6666666666666666	0.78064974920426
27	0.8	0.2222222222222222	0.3207489959076446
19	0.9	0.0	0.07244040704463883
88	0.2	0.1111111111111111	0.4590588746145466
93	0.1	0.6666666666666666	0.8054269866435257
25	0.8	0.4444444444444444	0.5058747377317213
8	1.0	0.1111111111111111	0.10612519632038805
101	0.0	0.8888888888888888	0.9387480367960513
49	0.6	0.0	0.2405103599329041
13	0.9	0.6666666666666666	0.6657273407402232
77	0.3	0.2222222222222222	0.5000475352045709
24	0.8	0.5555555555555556	0.5984376086437593
3	1.0	0.6666666666666666	0.6367511779223677
17	0.9	0.2222222222222222	0.27020271827649833
38	0.7	0.1111111111111111	0.27822010927238394
85	0.2	0.4444444444444444	0.6597899041443477
6	1.0	0.3333333333333333	0.31837558896118207
105	0.0	0.4444444444444444	0.693740183980255
95	0.1	0.4444444444444444	0.6775144983633143
91	0.1	0.8888888888888888	0.9333394749237375
54	0.5	0.5555555555555556	0.6728849579027709
50	0.5	1.0	0.9835785621437134
98	0.1	0.1111111111111111	0.4856457659429973
46	0.6	0.3333333333333333	0.48673284091421704
83	0.2	0.6666666666666666	0.7936105904975479
61	0.4	0.8888888888888888	0.9138108507588195
106	0.0	0.3333333333333333	0.6324882207763058
100	0.0	1.0	1.0
41	0.6	0.8888888888888888	0.8971036425497404
58	0.5	0.1111111111111111	0.36219135366182764
48	0.6	0.1111111111111111	0.32258452026000833
94	0.1	0.5555555555555556	0.7414707425034205
57	0.5	0.2222222222222222	0.4398647547220635
75	0.3	0.4444444444444444	0.640348642204415
32	0.7	0.7777777777777778	0.800241345226761
103	0.0	0.6666666666666666	0.8162441103881528
59	0.5	0.0	0.28451795260159274
63	0.4	0.6666666666666666	0.7663697383136908
107	0.0	0.2222222222222222	0.5712362575723565
37	0.7	0.2222222222222222	0.365223648598114
29	0.8	0.0	0.1356232540835694
97	0.1	0.2222222222222222	0.5496020100831027
1	1.0	0.8888888888888888	0.8490015705631584
52	0.5	0.7777777777777778	0.8282317600232425
21	0.8	0.8888888888888888	0.8761262213798732
2	1.0	0.7777777777777778	0.7428763742427635
23	0.8	0.6666666666666666	0.6910004795557972
87	0.2	0.2222222222222222	0.5259692177911475
99	0.1	0.0	0.421689521802892
74	0.3	0.5555555555555556	0.7104991957043375
86	0.2	0.3333333333333333	0.5928795609677476
82	0.2	0.7777777777777778	0.860520933674148
109	0.0	0.0	0.4487323311644589
20	0.8	1.0	0.968689092291911
60	0.4	1.0	0.9875314069813845
71	0.3	0.8888888888888888	0.920950856204104
14	0.9	0.5555555555555556	0.5668461851242922
92	0.1	0.7777777777777778	0.8693832307836321
51	0.5	0.8888888888888888	0.9059051610834774
102	0.0	0.7777777777777778	0.8774960735921021
